DATE,INDPRO
1984-10-01,56.3603
1985-01-01,56.5414
1985-04-01,56.5807
1985-07-01,56.5003
1985-10-01,56.8339
1986-01-01,57.1682
1986-04-01,56.8345
1986-07-01,57.0443
1986-10-01,57.6926
1987-01-01,58.4468
1987-04-01,59.4861
1987-07-01,60.6026
1987-10-01,62.0806
1988-01-01,62.6512
1988-04-01,63.1977
1988-07-01,63.4355
1988-10-01,63.8877
1989-01-01,64.1694
1989-04-01,63.9316
1989-07-01,63.5393
1989-10-01,63.8077
1990-01-01,64.2447
1990-04-01,64.7392
1990-07-01,65.0079
1990-10-01,63.9984
1991-01-01,62.7922
1991-04-01,63.1560
1991-07-01,64.0228
1991-10-01,64.1601
1992-01-01,64.0781
1992-04-01,65.2181
1992-07-01,65.7177
1992-10-01,66.4108
1993-01-01,66.9972
1993-04-01,67.1452
1993-07-01,67.4189
1993-10-01,68.4347
1994-01-01,69.2766
1994-04-01,70.5236
1994-07-01,71.4226
1994-10-01,72.9020
1995-01-01,73.6558
1995-04-01,73.9003
1995-07-01,74.5668
1995-10-01,75.2157
1996-01-01,75.7359
1996-04-01,77.3524
1996-07-01,78.3245
1996-10-01,79.4118
1997-01-01,80.9172
1997-04-01,82.1017
1997-07-01,83.9901
1997-10-01,86.0996
1998-01-01,87.0588
1998-04-01,87.6397
1998-07-01,88.2875
1998-10-01,89.5659
1999-01-01,90.5629
1999-04-01,91.4587
1999-07-01,92.2883
1999-10-01,93.9156
2000-01-01,94.8542
2000-04-01,96.0393
2000-07-01,95.9509
2000-10-01,95.7469
2001-01-01,94.4816
2001-04-01,93.2974
2001-07-01,91.9513
2001-10-01,90.9629
2002-01-01,91.6066
2002-04-01,93.0417
2002-07-01,93.6114
2002-10-01,93.5652
2003-01-01,94.0848
2003-04-01,93.4246
2003-07-01,93.9926
2003-10-01,94.9404
2004-01-01,95.5733
2004-04-01,96.1238
2004-07-01,96.6679
2004-10-01,98.0175
2005-01-01,99.3981
2005-04-01,99.8969
2005-07-01,99.4222
2005-10-01,100.3732
2006-01-01,101.3240
2006-04-01,101.9302
2006-07-01,102.2756
2006-10-01,102.5303
2007-01-01,103.4775
2007-04-01,104.7388
2007-07-01,104.9666
2007-10-01,105.1409
2008-01-01,104.7038
