0, -2.873667, -2.000000, -nan(ind), -nan(ind)
1, -2.445071, -1.638708, -nan(ind), -nan(ind)
2, -1.388360, -1.632811, -nan(ind), -nan(ind)
3, -1.170283, -1.762426, -nan(ind), -nan(ind)
4, -1.022463, -1.820469, -nan(ind), -nan(ind)
5, -1.256051, -2.013070, -nan(ind), -nan(ind)
6, -1.135731, -1.930098, -nan(ind), -nan(ind)
7, -0.546196, -1.826159, -nan(ind), -nan(ind)
8, -0.361112, -1.939741, -nan(ind), -nan(ind)
9, 0.643797, -1.986016, -nan(ind), -nan(ind)
10, -0.061395, -2.158744, -nan(ind), -nan(ind)
11, 0.181496, -1.974717, -nan(ind), -nan(ind)
12, 0.743454, -2.121432, -nan(ind), -nan(ind)
13, 0.409414, -2.334142, -nan(ind), -nan(ind)
14, 0.039537, -2.271964, -nan(ind), -nan(ind)
15, 0.103322, -2.291388, -nan(ind), -nan(ind)
16, 0.117430, -2.043299, -nan(ind), -nan(ind)
17, -0.032863, -2.043154, -nan(ind), -nan(ind)
18, -0.080181, -2.179352, -nan(ind), -nan(ind)
19, -0.086480, -2.212852, -nan(ind), -nan(ind)
20, 0.173080, -2.029916, -nan(ind), -nan(ind)
21, 0.066479, -1.830959, -nan(ind), -nan(ind)
22, 0.333986, -2.403149, -nan(ind), -nan(ind)
23, 1.485188, -2.241294, -nan(ind), -nan(ind)
24, 1.482607, -2.560966, -nan(ind), -nan(ind)
25, 0.914681, -2.455395, -nan(ind), -nan(ind)
26, 0.882694, -2.190256, -nan(ind), -nan(ind)
27, -0.361814, -2.314757, -nan(ind), -nan(ind)
28, -1.137514, -2.061638, -nan(ind), -nan(ind)
29, -0.949568, -1.705624, -nan(ind), -nan(ind)
30, -0.747765, -1.850686, -nan(ind), -nan(ind)
31, -1.452087, -2.012783, -nan(ind), -nan(ind)
32, -1.250338, -1.852937, -nan(ind), -nan(ind)
33, -0.536811, -1.922951, -nan(ind), -nan(ind)
34, -1.054022, -1.856247, -nan(ind), -nan(ind)
35, -0.564956, -2.077926, -nan(ind), -nan(ind)
36, 0.115095, -1.960914, -nan(ind), -nan(ind)
37, 0.620843, -2.094932, -nan(ind), -nan(ind)
38, 0.869101, -2.400168, -nan(ind), -nan(ind)
39, 0.589445, -2.456771, -nan(ind), -nan(ind)
40, 0.397369, -2.294444, -nan(ind), -nan(ind)
41, 0.130411, -2.135392, -nan(ind), -nan(ind)
42, -0.333447, -2.190626, -nan(ind), -nan(ind)
43, 0.427530, -2.115723, -nan(ind), -nan(ind)
44, 0.915466, -2.137922, -nan(ind), -nan(ind)
45, 1.439494, -2.349111, -nan(ind), -nan(ind)
46, 1.302564, -2.423966, -nan(ind), -nan(ind)
47, 1.516238, -2.252354, -nan(ind), -nan(ind)
48, 1.236461, -2.326376, -nan(ind), -nan(ind)
49, 1.637107, -2.364454, -nan(ind), -nan(ind)
50, 1.388893, -2.409554, -nan(ind), -nan(ind)
51, 0.852970, -2.303298, -nan(ind), -nan(ind)
52, 0.576384, -2.232960, -nan(ind), -nan(ind)
53, 0.351392, -2.219432, -nan(ind), -nan(ind)
54, -0.493870, -2.091289, -nan(ind), -nan(ind)
55, -0.315480, -2.118365, -nan(ind), -nan(ind)
56, 0.142748, -2.062019, -nan(ind), -nan(ind)
57, 0.755049, -2.263541, -nan(ind), -nan(ind)
58, 0.361762, -2.214676, -nan(ind), -nan(ind)
59, 0.520939, -2.230425, -nan(ind), -nan(ind)
60, 0.720310, -2.321703, -nan(ind), -nan(ind)
61, 0.269747, -2.426193, -nan(ind), -nan(ind)
62, -0.576180, -2.487079, -nan(ind), -nan(ind)
63, -1.232373, -2.174312, -nan(ind), -nan(ind)
64, -0.848724, -1.724951, -nan(ind), -nan(ind)
65, -1.402467, -2.131856, -nan(ind), -nan(ind)
66, -1.494805, -1.635471, -nan(ind), -nan(ind)
67, -1.792545, -1.810242, -nan(ind), -nan(ind)
68, -0.985062, -1.912256, -nan(ind), -nan(ind)
69, -0.851503, -1.873917, -nan(ind), -nan(ind)
70, -0.063316, -1.790379, -nan(ind), -nan(ind)
71, -0.573489, -2.102524, -nan(ind), -nan(ind)
72, -0.101993, -1.876464, -nan(ind), -nan(ind)
73, 0.468237, -2.213870, -nan(ind), -nan(ind)
74, 0.156045, -2.162545, -nan(ind), -nan(ind)
75, -0.058075, -2.206777, -nan(ind), -nan(ind)
76, -0.623174, -2.175517, -nan(ind), -nan(ind)
77, -0.307250, -1.823882, -nan(ind), -nan(ind)
78, -0.846098, -2.065896, -nan(ind), -nan(ind)
79, -0.418716, -1.918798, -nan(ind), -nan(ind)
80, -0.520042, -1.946734, -nan(ind), -nan(ind)
81, 0.168657, -2.089833, -nan(ind), -nan(ind)
82, 0.493890, -1.973913, -nan(ind), -nan(ind)
83, 0.479272, -2.254430, -nan(ind), -nan(ind)
84, 0.115376, -2.145226, -nan(ind), -nan(ind)
85, -0.762148, -2.217128, -nan(ind), -nan(ind)
86, -0.664364, -1.822653, -nan(ind), -nan(ind)
