0, -1.939524, -2.000000, -2.716741, -nan(ind)
1, -1.441674, -1.524773, -2.392508, -nan(ind)
2, -1.161159, -1.817766, -2.151376, -nan(ind)
3, -1.558806, -1.820655, -1.926574, -nan(ind)
4, -1.198897, -1.903827, -2.143263, -nan(ind)
5, -1.738268, -1.761347, -2.104474, -nan(ind)
6, -1.475110, -1.798001, -2.253705, -nan(ind)
7, -1.287651, -1.759140, -1.990818, -nan(ind)
8, -1.096300, -1.828856, -1.711461, -nan(ind)
9, -0.810651, -1.922441, -1.448639, -nan(ind)
10, -1.150575, -2.136127, -1.649216, -nan(ind)
11, -1.470632, -1.791835, -1.447987, -nan(ind)
12, -1.548509, -2.117185, -1.614680, -nan(ind)
13, -1.549208, -1.748332, -1.815317, -nan(ind)
14, -1.345257, -1.759909, -1.665599, -nan(ind)
15, -0.329517, -1.875603, -1.426249, -nan(ind)
16, -0.032678, -1.972757, -nan(ind), -nan(ind)
17, -1.139649, -2.260293, -nan(ind), -nan(ind)
18, -0.234869, -1.695597, -nan(ind), -nan(ind)
19, -0.148318, -1.978002, -nan(ind), -nan(ind)
20, 0.243394, -2.027967, -nan(ind), -nan(ind)
21, -0.410956, -2.047939, -nan(ind), -nan(ind)
22, -1.042614, -1.928864, -nan(ind), -nan(ind)
23, -0.437378, -1.881297, -nan(ind), -nan(ind)
24, 0.835761, -1.832339, -nan(ind), -nan(ind)
25, 1.750000, -2.366920, -nan(ind), -nan(ind)
26, 1.383026, -2.478302, -nan(ind), -nan(ind)
27, -0.518863, -2.581312, -nan(ind), -nan(ind)
28, -0.873727, -2.112218, -nan(ind), -nan(ind)
29, -0.994312, -1.693790, -nan(ind), -nan(ind)
30, -1.347135, -2.082678, -nan(ind), -nan(ind)
31, -0.314339, -1.839140, -nan(ind), -nan(ind)
32, -0.171057, -2.051945, -nan(ind), -nan(ind)
33, -0.044700, -2.238348, -nan(ind), -nan(ind)
34, -0.020814, -2.204967, -nan(ind), -nan(ind)
35, 0.046826, -2.068786, -nan(ind), -nan(ind)
36, 0.126494, -2.236498, -nan(ind), -nan(ind)
37, -1.138021, -2.002471, -nan(ind), -nan(ind)
