0, -2.443859, -2.000000, 1.971317, -nan(ind)
1, -2.308887, -1.391151, -nan(ind), -nan(ind)
2, -1.772317, -1.669769, -nan(ind), -nan(ind)
3, -1.319495, -1.713973, -nan(ind), -nan(ind)
4, -1.820177, -1.627957, -nan(ind), -nan(ind)
5, -1.021389, -1.834693, -nan(ind), -nan(ind)
6, -1.149117, -1.848380, -nan(ind), -nan(ind)
7, -1.082681, -1.725294, -nan(ind), -nan(ind)
8, -0.311939, -1.864163, -nan(ind), -nan(ind)
9, -0.693146, -1.945123, -nan(ind), -nan(ind)
10, -1.129472, -1.895808, -nan(ind), -nan(ind)
11, -1.264253, -1.710723, -nan(ind), -nan(ind)
12, -1.026545, -1.780804, -nan(ind), -nan(ind)
13, -0.889757, -1.850686, -nan(ind), -nan(ind)
14, -1.263756, -1.849964, -nan(ind), -nan(ind)
15, -1.186031, -1.897006, -nan(ind), -nan(ind)
16, -0.762258, -1.980838, -nan(ind), -nan(ind)
17, -0.644428, -1.978875, -nan(ind), -nan(ind)
18, -0.571716, -1.798087, -nan(ind), -nan(ind)
19, 0.184913, -1.779312, -nan(ind), -nan(ind)
20, 0.170534, -2.077447, -nan(ind), -nan(ind)
21, -0.197967, -2.203191, -nan(ind), -nan(ind)
22, -0.276772, -2.015092, -nan(ind), -nan(ind)
23, -0.261425, -1.778246, -nan(ind), -nan(ind)
24, 0.682158, -1.777133, -nan(ind), -nan(ind)
25, 0.075970, -2.439267, -nan(ind), -nan(ind)
26, 0.109098, -2.229004, -nan(ind), -nan(ind)
27, -0.531523, -2.193531, -nan(ind), -nan(ind)
28, -0.816295, -2.094831, -nan(ind), -nan(ind)
29, -0.640709, -2.029721, -nan(ind), -nan(ind)
30, -0.372017, -2.140358, -nan(ind), -nan(ind)
31, -0.785264, -1.841398, -nan(ind), -nan(ind)
32, -1.249377, -1.821462, -nan(ind), -nan(ind)
33, -1.245826, -1.877346, -nan(ind), -nan(ind)
34, -1.065161, -2.012890, -nan(ind), -nan(ind)
35, -0.786634, -1.735295, -nan(ind), -nan(ind)
36, -0.532106, -1.885786, -nan(ind), -nan(ind)
37, -0.441391, -2.072745, -nan(ind), -nan(ind)
38, 0.057674, -2.106505, -nan(ind), -nan(ind)
39, 1.195987, -2.006568, -nan(ind), -nan(ind)
40, 1.527503, -2.614285, -nan(ind), -nan(ind)
41, 2.228440, -2.315927, -nan(ind), -nan(ind)
42, 2.582950, -2.659053, -nan(ind), -nan(ind)
43, 2.480373, -2.819440, -nan(ind), -nan(ind)
44, 1.960394, -2.942146, -nan(ind), -nan(ind)
45, 1.662695, -2.873744, -nan(ind), -nan(ind)
46, 2.002680, -2.583963, -nan(ind), -nan(ind)
