number,time,count
0,18.816000,13
1,26.962000,19
2,36.732000,26
3,20.260000,13
4,17.630000,13
5,15.908000,11
6,13.880000,10
7,22.182000,16
8,22.420000,15
9,9.927000,8
10,13.297000,10
11,25.160000,17
12,14.876000,11
13,5.820000,5
14,24.852000,17
15,16.928000,12
16,17.953000,13
17,21.145000,15
18,19.044000,14
19,21.979000,16
20,15.682000,12
21,16.428000,12
22,19.988000,15
23,19.462000,15
24,19.597000,14
25,18.517000,14
26,21.245000,16
27,22.843000,18
28,6.716000,6
29,14.328000,11
30,16.263000,12
31,13.461000,10
32,20.379000,15
33,14.556000,11
34,11.992000,9
35,15.295000,12
36,11.461000,9
37,9.114000,8
38,25.184000,18
39,21.029000,16
40,15.100000,11
41,11.997000,9
42,23.165000,17
43,13.160000,10
44,5.420000,5
45,13.766000,10
46,12.490000,10
47,13.425000,10
48,23.419000,17
49,20.389000,14
50,14.259000,11
51,5.802000,5
52,12.796000,10
53,14.645000,11
54,20.219000,15
55,13.210000,10
56,12.709000,10
57,7.028000,6
58,13.842000,11
59,30.019000,23
60,35.240000,26
61,17.552000,13
62,39.298000,29
63,15.175000,11
64,15.037000,12
65,22.885000,17
66,8.735000,7
67,32.165000,24
68,23.133000,17
69,27.869000,21
70,28.051000,20
71,11.944000,9
72,15.164000,11
73,23.704000,18
74,24.083000,18
75,15.353000,12
76,9.797000,8
77,23.186000,18
78,19.068000,14
79,23.094000,18
80,19.180000,14
81,14.437000,11
82,13.904000,11
83,14.099000,11
84,14.077000,11
85,17.231000,13
86,21.989000,16
87,26.145000,19
88,27.978000,21
89,41.474000,31
90,10.128000,8
91,18.182000,14
92,20.654000,15
93,68.422000,50
94,4.293000,4
95,13.763000,10
96,30.674000,23
97,21.418000,16
98,17.664000,13
99,18.740000,14
