number,Iteration,beta,q,rho
-1,-1,0.750000,0.020000,0.050000,0.000000
0,0,0.048690
0,1,0.046272,0.000000
0,2,0.044323,0.000000
0,3,0.042479,0.000000
0,4,0.041032,0.000000
0,5,0.039336,0.000000
0,6,0.037887,0.000000
0,7,0.036446,0.000000
0,8,0.035403,0.000000
0,9,0.034597,0.000000
0,10,0.033885,0.000000
0,11,0.032881,0.000000
0,12,0.032237,0.000000
0,13,0.031372,0.000000
0,14,0.030805,0.000000
0,15,0.030316,0.000000
0,16,0.029799,0.000000
0,17,0.029276,0.000000
0,18,0.028823,0.000000
0,19,0.028470,0.000000
0,20,0.028154,0.000000
0,21,0.027877,0.000000
0,22,0.027635,0.000000
0,23,0.027335,0.000000
0,24,0.027135,0.000000
0,25,0.026890,0.000000
0,26,0.026616,0.000000
0,27,0.026382,0.000000
0,28,0.026250,0.000000
0,29,0.026144,0.000000
0,30,0.025989,0.000000
0,31,0.025656,0.000000
0,32,0.025571,0.000000
1,0,0.005470
1,1,0.006032,0.000000
1,2,0.006529,0.000000
1,3,0.006976,0.000000
1,4,0.007543,0.000000
1,5,0.008009,0.000000
1,6,0.008479,0.000000
1,7,0.008917,0.000000
1,8,0.009349,0.000000
1,9,0.009802,0.000000
1,10,0.010211,0.000000
1,11,0.010606,0.000000
1,12,0.011071,0.000000
1,13,0.011391,0.000000
1,14,0.011786,0.000000
1,15,0.012130,0.000000
1,16,0.012481,0.000000
1,17,0.012820,0.000000
1,18,0.013111,0.000000
1,19,0.013345,0.000000
1,20,0.013585,0.000000
1,21,0.013880,0.000000
1,22,0.014161,0.000000
1,23,0.014462,0.000000
1,24,0.014774,0.000000
1,25,0.014917,0.000000
1,26,0.015134,0.000000
1,27,0.015369,0.000000
1,28,0.015507,0.000000
1,29,0.015589,0.000000
2,0,0.088175
2,1,0.081315,0.000000
2,2,0.074489,0.000000
2,3,0.069237,0.000000
2,4,0.064406,0.000000
2,5,0.060739,0.000000
2,6,0.057134,0.000000
2,7,0.053481,0.000000
2,8,0.050419,0.000000
2,9,0.048029,0.000000
2,10,0.045690,0.000000
2,11,0.045690,0.000000
3,0,0.010445
3,1,0.011031,0.000000
3,2,0.011465,0.000000
3,3,0.012095,0.000000
3,4,0.012598,0.000000
3,5,0.013160,0.000000
3,6,0.013635,0.000000
3,7,0.014053,0.000000
3,8,0.014429,0.000000
3,9,0.014809,0.000000
3,10,0.015219,0.000000
3,11,0.015485,0.000000
3,12,0.015883,0.000000
3,13,0.016236,0.000000
3,14,0.016653,0.000000
3,15,0.016926,0.000000
3,16,0.017351,0.000000
3,17,0.017624,0.000000
3,18,0.017861,0.000000
3,19,0.018058,0.000000
3,20,0.018275,0.000000
3,21,0.018413,0.000000
3,22,0.018668,0.000000
3,23,0.018871,0.000000
3,24,0.019080,0.000000
3,25,0.019174,0.000000
4,0,0.047636
4,1,0.044852,0.000000
4,2,0.042534,0.000000
4,3,0.040280,0.000000
4,4,0.038131,0.000000
4,5,0.036656,0.000000
4,6,0.035070,0.000000
4,7,0.033524,0.000000
4,8,0.032442,0.000000
4,9,0.031277,0.000000
4,10,0.030378,0.000000
4,11,0.029487,0.000000
4,12,0.028459,0.000000
4,13,0.027846,0.000000
4,14,0.027178,0.000000
4,15,0.026353,0.000000
4,16,0.025877,0.000000
4,17,0.025354,0.000000
4,18,0.024843,0.000000
4,19,0.024236,0.000000
4,20,0.023834,0.000000
4,21,0.023532,0.000000
4,22,0.023178,0.000000
4,23,0.022741,0.000000
4,24,0.022504,0.000000
4,25,0.022250,0.000000
4,26,0.021993,0.000000
4,27,0.021771,0.000000
4,28,0.021514,0.000000
4,29,0.021332,0.000000
4,30,0.021173,0.000000
4,31,0.021078,0.000000
5,0,0.028895
5,1,0.028392,0.000000
5,2,0.027765,0.000000
5,3,0.027098,0.000000
5,4,0.026690,0.000000
5,5,0.026102,0.000000
5,6,0.025791,0.000000
5,7,0.025472,0.000000
5,8,0.025153,0.000000
5,9,0.024815,0.000000
5,10,0.024619,0.000000
5,11,0.024372,0.000000
5,12,0.024252,0.000000
5,13,0.024056,0.000000
5,14,0.023892,0.000000
