t,Q_phi,Q_sd,Q_mu,Q_zero,Q_rho,grad_phi,grad_sd,grad_mu,grad_zero,grad_rho
1,-767.693005,-2325.130381,-753.776121,-722.094863,-1095.304668,1451.558951,8838.048281,168.036864,134.112283,623.811664
2,-773.585686,-1324.577060,-647.568008,-640.604410,-880.610728,1451.278364,2132.277000,97.656882,77.104498,282.822123
3,-756.972487,-891.158219,-617.635065,-600.859789,-694.331045,1450.711488,891.792321,56.068058,43.417550,169.007061
4,-818.833374,-719.372354,-635.919488,-605.660066,-642.318181,1449.858355,457.790180,26.255247,19.269173,111.943046
5,-749.327610,-674.848208,-606.386399,-576.906926,-643.773938,1448.718992,256.950011,2.888772,0.342328,77.572679
6,-733.171418,-614.850873,-605.740680,-599.391629,-616.701594,1447.293430,147.865424,-16.404918,-15.285560,54.547286
7,-743.791964,-609.818041,-648.888106,-615.092008,-604.066633,1445.581699,82.096537,-32.891884,-28.640003,38.004088
8,-740.402880,-644.207042,-592.977236,-618.250428,-610.966479,1443.583828,39.412681,-47.327890,-40.333167,25.512008
9,-673.992573,-618.106016,-620.342425,-608.856349,-595.598965,1441.299847,10.150169,-60.200477,-50.759963,15.720574
10,-699.437570,-599.964188,-663.539233,-624.434971,-598.005185,1438.729787,-10.780346,-71.842612,-60.190092,7.819565
11,-735.636119,-588.932044,-628.621165,-632.746643,-596.242310,1435.873675,-26.266089,-82.491856,-68.815980,1.293423
12,-740.009264,-639.563217,-624.757056,-627.525291,-618.524409,1432.731543,-38.043972,-92.323694,-76.779769,-4.201541
13,-675.320713,-610.872430,-644.429434,-646.556788,-579.618820,1429.303420,-47.209742,-101.471463,-84.189461,-8.903246
14,-681.796717,-590.706623,-658.004534,-654.981203,-601.490099,1425.589336,-54.482370,-110.038878,-91.129068,-12.981626
15,-690.789766,-610.958884,-644.509065,-657.595895,-591.659042,1421.589320,-60.349464,-118.108232,-97.665244,-16.561286
16,-683.042799,-636.839146,-670.525467,-657.744299,-598.964152,1417.303402,-65.151187,-125.745933,-103.851782,-19.735674
17,-707.195757,-642.300656,-671.207730,-678.125125,-588.407925,1412.731612,-69.130690,-133.006367,-109.732734,-22.576243
18,-700.264652,-642.242533,-681.671499,-668.051431,-600.786818,1407.873980,-72.465517,-139.934657,-115.344649,-25.138557
19,-704.857102,-620.963171,-699.081385,-699.982621,-580.973274,1402.730535,-75.287756,-146.568665,-120.718196,-27.466477
20,-671.448169,-624.151321,-688.946948,-685.342630,-590.321909,1397.301307,-77.697317,-152.940495,-125.879377,-29.595086
21,-694.839385,-627.208098,-695.937156,-694.733030,-609.069510,1391.586326,-79.770905,-159.077612,-130.850442,-31.552776
22,-664.935976,-642.572884,-715.634804,-716.952409,-601.579597,1385.585621,-81.568198,-165.003716,-135.650586,-33.362770
23,-666.588458,-622.845913,-723.460252,-721.675788,-593.944489,1379.299223,-83.136187,-170.739414,-140.296502,-35.044246
24,-645.810132,-628.004993,-747.749399,-714.551106,-597.794420,1372.727161,-84.512284,-176.302747,-144.802802,-36.613179
25,-658.886254,-660.524183,-759.056574,-759.651118,-610.103463,1365.869464,-85.726568,-181.709619,-149.182368,-38.082981
26,-682.891558,-642.280347,-752.154166,-744.887460,-620.401943,1358.726162,-86.803451,-186.974128,-153.446620,-39.464991
27,-666.801047,-631.308670,-743.751340,-752.209561,-603.340900,1351.297286,-87.762905,-192.108850,-157.605745,-40.768866
28,-661.167481,-641.440264,-776.400461,-774.937816,-622.528863,1343.582864,-88.621405,-197.125060,-161.668875,-42.002870
29,-617.267281,-670.491907,-782.146487,-754.256933,-609.846713,1335.582928,-89.392632,-202.032919,-165.644241,-43.174126
30,-669.863097,-665.976041,-798.793014,-766.127001,-606.611650,1327.297505,-90.088027,-206.841633,-169.539299,-44.288793
31,-676.158299,-668.875310,-801.649333,-790.316548,-619.424012,1318.726626,-90.717215,-211.559576,-173.360833,-45.352234
32,-650.132861,-693.452473,-808.069465,-776.069083,-628.378050,1309.870321,-91.288341,-216.194405,-177.115045,-46.369128
33,-648.114630,-660.907611,-822.738507,-804.936247,-618.968071,1300.728620,-91.808336,-220.753152,-180.807630,-47.343581
34,-628.589022,-680.071428,-830.123171,-806.510378,-617.936901,1291.301551,-92.283126,-225.242303,-184.443842,-48.279208
35,-636.810664,-668.584033,-844.170612,-812.101721,-636.338994,1281.589146,-92.717803,-229.667864,-188.028547,-49.179200
36,-678.946536,-676.182020,-849.565798,-826.982504,-650.187674,1271.591433,-93.116762,-234.035426,-191.566272,-50.046386
37,-663.641374,-686.651062,-873.830998,-844.426629,-621.902817,1261.308443,-93.483811,-238.350209,-195.061246,-50.883279
38,-641.224432,-688.416188,-898.634919,-827.251157,-636.018290,1250.740204,-93.822264,-242.617114,-198.517439,-51.692117
39,-641.380720,-685.572779,-860.576009,-834.419214,-633.650741,1239.886748,-94.135017,-246.840756,-201.938589,-52.474898
40,-655.837660,-694.009554,-882.216095,-853.214290,-633.189334,1228.748102,-94.424608,-251.025503,-205.328234,-53.233411
41,-607.533754,-666.447250,-905.943447,-881.134025,-665.758993,1217.324298,-94.693268,-255.175509,-208.689739,-53.969258
42,-653.188302,-698.721889,-917.739330,-865.516066,-648.018402,1205.615365,-94.942967,-259.294737,-212.026313,-54.683877
43,-622.882984,-711.774758,-919.623978,-897.727169,-657.922779,1193.621333,-95.175448,-263.386986,-215.341035,-55.378560
44,-637.200060,-673.189568,-925.365412,-872.143910,-632.389392,1181.342231,-95.392259,-267.455917,-218.636869,-56.054469
45,-613.447452,-682.810652,-943.712520,-889.736146,-652.230610,1168.778089,-95.594776,-271.505071,-221.916684,-56.712649
46,-630.454551,-698.716052,-925.281106,-923.006728,-647.738325,1155.928937,-95.784230,-275.537890,-225.183268,-57.354040
47,-632.910949,-697.236764,-960.757057,-921.976105,-644.167154,1142.794805,-95.961720,-279.557735,-228.439342,-57.979489
48,-625.988598,-692.737986,-991.539054,-941.537354,-639.684938,1129.375722,-96.128232,-283.567904,-231.687579,-58.589753
49,-641.353626,-687.251578,-983.450606,-945.142041,-649.542997,1115.671718,-96.284654,-287.571646,-234.930610,-59.185514
50,-605.803907,-714.676402,-992.313835,-939.724134,-661.430574,1101.682822,-96.431785,-291.572181,-238.171043,-59.767381
51,-612.232831,-702.312823,-992.431031,-966.733547,-662.581900,1087.409065,-96.570346,-295.572713,-241.411474,-60.335897
52,-609.315616,-725.018790,-1020.201220,-983.281173,-641.067415,1072.850477,-96.700990,-299.576445,-244.654497,-60.891544
53,-613.635569,-721.264548,-1031.004014,-999.584642,-651.183132,1058.007086,-96.824308,-303.586598,-247.902721,-61.434745
54,-623.976251,-747.854519,-1045.522141,-985.456556,-663.560275,1042.878922,-96.940840,-307.606420,-251.158777,-61.965872
55,-612.841771,-718.236775,-1046.213840,-996.375469,-670.462432,1027.466017,-97.051073,-311.639210,-254.425337,-62.485245
56,-621.520003,-695.322286,-1047.822760,-991.913329,-679.410773,1011.768398,-97.155453,-315.688328,-257.705122,-62.993136
57,-633.910020,-725.891507,-1080.112422,-1010.977461,-670.168271,995.786096,-97.254388,-319.757216,-261.000922,-63.489773
58,-609.637539,-695.282973,-1096.098437,-1030.282818,-668.185620,979.519140,-97.348249,-323.849415,-264.315603,-63.975337
59,-596.488195,-731.905307,-1087.837524,-1058.008065,-697.744097,962.967561,-97.437379,-327.968585,-267.652130,-64.449968
60,-592.018280,-723.184836,-1113.823619,-1039.791898,-669.784098,946.131387,-97.522089,-332.118525,-271.013582,-64.913760
61,-594.759583,-708.493323,-1143.602651,-1036.272830,-702.806964,929.010650,-97.602668,-336.303199,-274.403168,-65.366768
62,-599.181494,-732.651592,-1147.575272,-1066.132989,-685.151716,911.605377,-97.679379,-340.526759,-277.824251,-65.809005
63,-609.124578,-717.373344,-1163.646491,-1093.325839,-667.539317,893.915600,-97.752466,-344.793572,-281.280370,-66.240437
64,-600.489963,-712.977385,-1183.502239,-1110.295027,-681.177698,875.941348,-97.822153,-349.108255,-284.775263,-66.660992
65,-612.625172,-748.766029,-1190.286750,-1099.883057,-723.367160,857.682650,-97.888650,-353.475706,-288.312899,-67.070548
66,-573.639835,-743.426842,-1206.986488,-1112.460980,-693.785675,839.139537,-97.952146,-357.901146,-291.897505,-67.468938
67,-595.170045,-752.323762,-1202.059170,-1117.437854,-689.111672,820.312037,-98.012821,-362.390164,-295.533609,-67.855945
68,-599.615353,-750.005048,-1236.207241,-1149.811100,-694.763905,801.200181,-98.070838,-366.948766,-299.226077,-68.231299
69,-615.376268,-729.701391,-1227.793289,-1161.230832,-698.240253,781.803999,-98.126352,-371.583436,-302.980160,-68.594674
70,-599.883763,-725.792534,-1261.827222,-1180.851014,-723.015250,762.123520,-98.179503,-376.301205,-306.801553,-68.945681
71,-593.114919,-748.018745,-1270.743005,-1199.636097,-720.226049,742.158774,-98.230424,-381.109729,-310.696457,-69.283867
72,-598.619859,-744.917672,-1320.178461,-1206.364576,-722.646902,721.909790,-98.279238,-386.017382,-314.671656,-69.608702
73,-591.004854,-734.463303,-1269.314595,-inf,-715.743755,701.376599,-98.326060,-391.033365,-318.734602,-69.919577
74,-598.932333,-748.819722,-1314.963399,-inf,-693.069135,680.559230,-98.370997,-396.167839,-322.893526,-70.215790
75,-634.956098,-731.220063,-1349.113166,-inf,-718.109364,659.457713,-98.414148,-401.432076,-327.157559,-70.496536
76,-581.773576,-722.508561,-1386.213052,-inf,-730.547637,638.072077,-98.455607,-406.838649,-331.536883,-70.760895
77,-597.907349,-750.171339,-1365.007304,-inf,-728.243646,616.402352,-98.495461,-412.401655,-336.042917,-71.007810
78,-602.834910,-748.921144,-1417.667832,-inf,-733.064981,594.448569,-98.533792,-418.136991,-340.688539,-71.236072
79,-593.776899,-762.742872,-1442.639532,-inf,-739.215624,572.210756,-98.570677,-424.062695,-345.488359,-71.444293
80,-607.814515,-738.721586,-1445.324685,-inf,-737.806564,549.688943,-98.606187,-430.199367,-350.459064,-71.630871
81,-597.556509,-754.543162,-1483.939045,-inf,-750.362860,526.883161,-98.640390,-436.570701,-355.619844,-71.793960
82,-616.006423,-735.065791,-1526.026022,-inf,-751.616006,503.793438,-98.673349,-443.204155,-360.992942,-71.931415
83,-591.341310,-745.836242,-1547.077930,-inf,-761.459389,480.419805,-98.705125,-450.131820,-366.604351,-72.040734
84,-617.888810,-757.795630,-1558.532029,-inf,-756.223099,456.762292,-98.735772,-457.391548,-372.484731,-72.118979
85,-610.650847,-770.922417,-1588.043910,-inf,-777.859084,432.820927,-98.765344,-465.028444,-378.670616,-72.162678
86,-606.986609,-766.447726,-1628.707746,-inf,-761.409817,408.595741,-98.793890,-473.096872,-385.206043,-72.167690
87,-577.258435,-755.376103,-1696.480647,-inf,-766.139845,384.086764,-98.821458,-481.663216,-392.144781,-72.129026
88,-581.812837,-761.272338,-1706.340399,-inf,-774.260786,359.294025,-98.848091,-490.809728,-399.553456,-72.040608
89,-586.511775,-744.385453,-1741.417840,-inf,-791.052568,334.217553,-98.873831,-500.640076,-407.516039,-71.894930
90,-610.079791,-736.938551,-1811.766898,-inf,-795.427993,308.857380,-98.898719,-511.287528,-416.140474,-71.682572
91,-584.415251,-762.463767,-1863.743658,-inf,-822.930159,283.213533,-98.922790,-522.927464,-425.568823,-71.391484
92,-577.657844,-750.222203,-1934.899341,-inf,-816.187182,257.286044,-98.946080,-535.797298,-435.993388,-71.005889
93,-575.487045,-742.291492,-2014.793208,-inf,-827.608643,231.074942,-98.968624,-550.229755,-447.683678,-70.504530
94,-580.205083,-765.225929,-2085.855566,-inf,-827.081119,204.580256,-98.990451,-566.711983,-461.034283,-69.857711
95,-586.338928,-758.372495,-2233.764280,-inf,-850.712973,177.802016,-99.011593,-585.999028,-476.656789,-69.021945
96,-603.980866,-756.854828,-2303.299633,-inf,-845.640981,150.740252,-99.032078,-609.355525,-495.575552,-67.929319
97,-586.957901,-767.439798,-2510.726883,-inf,-888.760289,123.394994,-99.051933,-639.151691,-519.710446,-66.463476
98,-595.225709,-748.797242,-2687.325219,-inf,-901.076785,95.766272,-99.071183,-680.707203,-553.370411,-64.393372
99,-625.533469,-767.637869,-3178.305847,-inf,-943.941872,67.854114,-99.089852,-750.987206,-610.297213,-61.110920
1,-750.965823,-2284.656679,-713.333764,-721.681376,-1151.596117,963.524097,8797.022898,166.743904,133.425133,629.552226
2,-705.485666,-1315.516354,-651.583161,-624.023457,-834.189617,963.364538,2122.030913,96.363921,76.417348,285.659535
3,-729.210526,-888.322918,-599.158409,-620.508569,-743.640580,963.015645,887.240022,54.775098,42.730400,170.876313
4,-721.429308,-730.363710,-619.783558,-588.253082,-648.839716,962.477443,455.229940,24.962287,18.582023,113.327524
5,-706.252385,-658.301158,-602.050918,-585.405983,-634.791840,961.749955,255.311620,1.595811,-0.344822,78.665678
6,-730.184836,-640.650618,-584.015668,-626.419306,-629.885649,960.833208,146.727729,-17.697878,-15.972710,55.445440
7,-679.453438,-606.064925,-579.636638,-588.945663,-605.070497,959.727226,81.260719,-34.184845,-29.327153,38.762609
8,-710.727475,-615.387655,-614.518054,-612.787034,-601.259381,958.432033,38.772781,-48.620850,-41.020317,26.165400
9,-691.394364,-587.444975,-619.582289,-619.724117,-576.391232,956.947655,9.644583,-61.493438,-51.447113,16.291841
10,-703.681413,-600.647094,-615.994815,-611.538377,-584.463391,955.274116,-11.189861,-73.135572,-60.877242,8.324809
11,-682.226305,-583.366179,-590.106761,-625.461294,-590.577444,953.411442,-26.604526,-83.784817,-69.503130,1.744352
12,-679.937564,-595.053009,-641.687810,-637.954869,-603.183521,951.359657,-38.328349,-93.616655,-77.466919,-3.796142
13,-672.692230,-597.200228,-649.379276,-642.353302,-587.385617,949.118786,-47.452048,-102.764423,-84.876611,-8.536623
14,-679.862802,-600.942352,-652.547134,-641.507601,-580.370028,946.688854,-54.691294,-111.331839,-91.816218,-12.648469
15,-674.727091,-613.763896,-665.727454,-665.874991,-598.510919,944.069886,-60.531459,-119.401192,-98.352395,-16.257349
16,-668.329403,-626.925440,-685.543288,-671.998911,-602.318509,941.261907,-65.311142,-127.038893,-104.538932,-19.457506
17,-690.765858,-627.023636,-679.409199,-685.328184,-609.825912,938.264940,-69.272379,-134.299328,-110.419884,-22.321001
18,-702.836780,-615.762201,-696.106039,-686.453380,-578.312140,935.079013,-72.591900,-141.227617,-116.031799,-24.903873
19,-672.288461,-637.246829,-702.234099,-694.719302,-574.459355,931.704148,-75.401184,-147.861626,-121.405346,-27.250356
20,-659.201521,-621.344580,-696.834091,-675.899124,-589.994724,928.140372,-77.799686,-154.233455,-126.566527,-29.395831
21,-673.854087,-642.519960,-713.885830,-704.322008,-607.648967,924.387708,-79.863756,-160.370572,-131.537592,-31.368932
22,-659.049128,-629.595596,-721.415659,-711.788519,-600.302120,920.446183,-81.652800,-166.296676,-136.337737,-33.193082
23,-683.968072,-641.715591,-725.295928,-712.337567,-607.161265,916.315820,-83.213592,-172.032374,-140.983652,-34.887620
24,-643.795094,-627.196397,-725.358891,-728.785162,-594.116668,911.996644,-84.583372,-177.595708,-145.489952,-36.468659
25,-656.022261,-638.555344,-750.939879,-725.720045,-606.803574,907.488681,-85.792083,-183.002579,-149.869518,-37.949724
26,-636.947306,-632.233021,-751.144019,-735.478076,-604.053083,902.791956,-86.864022,-188.267088,-154.133770,-39.342252
27,-660.415964,-649.266819,-739.535380,-756.558145,-626.618486,897.906492,-87.819073,-193.401810,-158.292895,-40.655980
28,-651.330609,-693.613356,-768.839093,-742.830653,-625.978466,892.832315,-88.673633,-198.418020,-162.356025,-41.899247
29,-643.736344,-670.368218,-817.945002,-754.489607,-622.973178,887.569450,-89.441320,-203.325880,-166.331391,-43.079232
30,-620.876944,-674.813503,-792.254708,-774.933576,-589.076784,882.117922,-90.133523,-208.134593,-170.226449,-44.202150
31,-645.099371,-676.681330,-824.155587,-786.553207,-583.325468,876.477755,-90.759822,-212.852536,-174.047983,-45.273407
32,-664.612631,-661.887459,-830.521401,-782.761945,-608.388173,870.648975,-91.328327,-217.487365,-177.802195,-46.297725
33,-634.747477,-659.274495,-816.085531,-796.191806,-616.230896,864.631606,-91.845936,-222.046113,-181.494780,-47.279244
34,-640.500054,-705.936581,-842.506661,-826.378584,-626.630797,858.425673,-92.318547,-226.535263,-185.130992,-48.221609
